Ajwan
AlasandeGram
Amaranthus
Amla(Nelli+Kai)
Amphophalus
Antawala
Apple
Arhar+Dal(Tur+Dal)
Ashgourd
Avare+Dal
Banana
Banana+-+Green
Barley+(Jau)
Beans
Beaten+Rice
Beetroot
Betal+Leaves
Bitter+gourd
Black+pepper
Bottle+gourd
Brinjal
Broken+Rice
Cabbage
Capsicum
Cardamoms
Carrot
Cashewnuts
Castor+Seed
Cauliflower
Coconut
Chapparad+Avare
Chennangi+Dal
Chikoos(Sapota)
Chili+Red
Chilly+Capsicum
Cloves
Cluster+beans
Cocoa
Coconut+Oil
Coconut+Seed
Coffee
Colacasia
Copra
Coriander(Leaves)
Corriander+seed
Cowpea(Veg)
Cotton
Cucumbar(Kheera)
Cummin+Seed(Jeera)
Drumstick
Dry+Chillies
Dry+Fodder
Dry+Grapes
Duster+Beans
Egg
Elephant+Yam+(Suran)
Field+Pea
Firewood
Fish
Garlic
Ghee
Gingelly+Oil
Ginger(Dry)
Ginger(Green)
Grapes
Green+Avare+(W)
Green+Chilli
Green+Fodder
Green+Peas
Ground+Nut+Seed
Groundnut
Groundnut+(Split)
Groundnut+pods+(raw)
Guar
Guava
Gur(Jaggery)
Hen
Hybrid+Cumbu
Indian+Beans+(Seam)
Isabgul+(Psyllium)
Jack+Fruit
Jamun(Narale+Hannu)
Jowar(Sorghum)
Jute
Karbuja(Musk+Melon)
Knool+Khol
Kulthi(Horse+Gram)
Lak(Teora)
Leafy+Vegetable
Lemon
Lime
Linseed
Litchi
Long+Melon(Kakri)
Mahua
Maida+Atta
Maize
Mango
Mango+(Raw-Ripe)
Mashrooms
Masur+Dal
Methi+Seeds
Methi(Leaves)
Millets
Mint(Pudina)
Moath+Dal
Mousambi(Sweet+Lime)
Mustard
Mustard+Oil
Myrobolan(Harad)
Nutmeg
Onion
Onion+Green
Orange
Paddy(Dhan)(Basmati)
Paddy(Dhan)(Common)
Papaya
Papaya+(Raw)
Peach
Peas+cod
Peas+Wet
Peas(Dry)
Pepper+garbled
Pepper+ungarbled
Pineapple
Plum
Pomegranate
Potato
Pumpkin
Raddish
Ragi+(Finger+Millet)
Rajgir
Rice
Ridgeguard(Tori)
Round+gourd
Rubber
Safflower
Snakeguard
Soanf
Soyabean
Spinach
Sponge+gourd
Sugar
Sunflower
Surat+Beans+(Papadi)
Suva+(Dill+Seed)
Suvarna+Gadde
Sweet+Potato
Sweet+Pumpkin
T.V.+Cumbu
Tamarind+Fruit
Tapioca
Taramira
Tender+Coconut
Tinda
Tobacco
Tomato
Toria
Turmeric
Turmeric+(raw)
Turnip
Water+Melon
Wheat
Wheat+Atta
White+Peas
White+Pumpkin
Wood
Yam+(Ratalu)
Bamboo
Yam
Kodo+Millet(Varagu)
Goat
Pear(Marasebu)
Balekai
Gram+Raw(Chholia)
Cow
Same/Savi
Sugarcane
She+Buffalo
Sheep
Soji
Chow+Chow
Pigs
Calf
Duck
Ox
Dhaincha
Season+Leaves
Cock
Hippe+Seed
Tamarind+Seed
Other+Pulses
Coca
Niger+Seed+(Ramtil)
Ram
Thondekai
Galgal(Lemon)
Honge+seed
Lotus+Sticks
Neem+Seed
Bran
Cherry
Mace
Kartali+(Kantola)
She+Goat
Alsandikai
Mahedi
Bull
Thogrikai
Khoya
Seetapal
Almond(Badam)
Butter
Rose(Loose)
Kinnow
He+Buffalo
Marigold(loose)
Mataki
Sajje
Marigold(Calcutta)
Ambada+Seed
Chrysanthemum(Loose)
Cotton+Seed
Seemebadnekai
Gramflour
Persimon(Japani+Fal)
Lint
Indian+Colza(Sarson)
Sabu+Dan
Jasmine
Gurellu
Walnut
Bunch+Beans
Snake+gourd
Ridge+gourd(Tori)
Dalda
Sabu+Dana
Tube+Rose(Loose)
Rose(Local)
Seetafal
Siddota
Lukad
Sunhemp
Alasande Gram
Amla(Nelli Kai)
Anthorium
Arecanut(Betelnut/Supari)
Arhar (Tur/Red Gram)(Whole)
